conversation_id,key_issue,key_resolution
0,Store unexpectedly closed.,Store closure due to power outage.
1,Missing order confirmation email.,Order confirmed; email confirmation missing due to system error.
2,Seeking supplement advice for anxiety.,Supplement recommendations for anxiety: 5-HTP and Magnesium.
3,Rude and unhelpful staff.,Feedback on rude staff relayed to store manager.
4,Vegetarian suitability of hair loss capsules.,Confirmed vegetarian suitability of product.
5,Incorrect delivery location.,Re-arranged home delivery for tomorrow.
6,Positive feedback; no issue.,Positive feedback; no issue resolution needed.
7,Narrow store aisles.,Feedback relayed to Stowmarket management.
8,Click and collect order unfulfilled due to store closure.,Order redelivered at no extra cost due to store closure.
9,"Store closed early, preventing order pickup.",Home delivery arranged for order.
10,Understanding the penny sale.,Explanation of penny sale.
11,Price increase of supplements.,10% discount applied.
12,Missing protein powder order.,Order delayed due to stock issues; notification set for restock.
13,App crashed during checkout.,Order did not go through; retry order.
14,Expressing positive feedback.,Positive feedback; no issue.
15,Discount not applied at checkout.,15% discount refunded.
16,Website misinformation regarding product ingredients.,Refund issued for mislabeled product.
17,Short quantity of protein powder.,Replacement pack sent.
18,Bitter-tasting tea; return request.,Return processed.
19,Menopausal anxiety; seeking supplement recommendations.,Recommended Ashwagandha and Magnesium supplements.
20,"Dairy-free ice cream contained dairy, causing allergic reaction.",Refund issued; quality control notified.
21,Concern about bulking agent in Vitamin C tablets.,Explanation of bulking agent in Vitamin C tablets.
22,Felt pressured into buying unwanted items.,Return instructions emailed.
23,Website crashing during online order attempt.,Phone order placed due to website crash.
24,Product out of stock.,"Temporary out of stock; back in two weeks, email notification offered."
25,Request for more organic skincare options.,Feedback noted; new organic products coming next month; customer added to notification list.
26,Excessive packaging for a small order.,Excessive packaging feedback received; voucher issued as apology.
27,Conflicting multivitamin dosage advice.,Follow dosage instructions on the bottle.
28,Seeking collagen supplement recommendation.,Product recommendation.
29,Unhelpful staff member in Leeds store.,Issue escalated for staff training.
30,Out-of-stock hair coloring at local store.,Product reserved at Elm Street store.
31,Short expiry date on Vitamin D tablets.,Replacement Vitamin D tablets sent.
32,Order shipment delay.,Order status update promised within 24 hours.
33,Late Subscribe & Save delivery.,Delayed delivery; 10% discount offered.
34,Hair thinning solutions.,Product recommendations for hair thinning.
35,Expressing gratitude.,Expressing gratitude.
36,Coupon code not working.,Coupon manually applied.
37,Recurring out-of-stock Subscribe & Save item.,"Restocked in two days, 15% discount offered."
38,Lack of follow-up on skincare product complaint.,Issue escalation to head office; contact promised within 24 hours.
39,Allergic reaction to Only Good cream.,Refund and return arranged; quality assurance notified.
40,Lost order.,Lost order reshipped with priority.
41,Incorrect order fulfillment.,Incorrect order received; correct order dispatched.
42,Store closure.,Store closed due to plumbing issue.
43,Difficulty understanding supplement label.,Feedback given on product labeling;  improvement requested.
44,Seeking joint health supplement recommendation.,Product recommendation: Glucosamine & Chondroitin Complex for joint health.  Bristol store availability confirmed.
45,Order cancellation due to out-of-stock error.,"Order cancelled, refund issued."
46,Damaged tea order.,Damaged tea order; replacement issued.
47,Incorrect order received.,"Incorrect item sent; correct item will be sent, customer can keep incorrect item."
48,Appreciation for online discounts.,No issue; expressing appreciation for online discounts.
49,Damaged delivery.,New order sent; damaged goods return arranged.
50,Delayed click-and-collect order notification.,Order ready for collection.
51,Understanding Penny Sale inclusions.,Penny Sale details provided; customer will place order.
52,Address change for delivery.,Delivery address updated.
53,Loyalty point application failure.,Logging out and back in resolved the issue.
54,Unresponded-to defect report.,Replacement product sent.
55,Positive feedback; praising products and staff.,Positive feedback; no issue resolution needed.
56,Missing voucher.,Voucher re-sent.
57,Request for complementary products.,Recommended complementary Hair Burst shampoo and conditioner.
58,Double charge on online order.,Refund processed for double charge.
59,Delayed order.,Delayed delivery expedited.
60,Missing promotional email.,Added email to newsletter subscription.
61,Positive feedback on Lymington store staff and safety measures.,Positive feedback; no issue to resolve.
62,Incorrect order fulfillment.,Incorrect order received; correct supplements dispatched.
63,Price increase on protein bars.,Information on loyalty program.
64,Declined payment card.,Temporary payment gateway issue resolved.
65,Leaking coconut oil delivery.,Replacement sent for leaked coconut oil.
66,Positive feedback on Manchester store staff.,Positive feedback given; no issue to resolve.
67,Kids disliked the taste of gummies.,Return authorized.
68,Website failed to display coffee's short expiry date.,Full refund issued.
69,Missing nutritional information.,Provided EPA and DHA content.
70,Rude staff member in Cardiff Queen Street store.,Complaint logged; action to be taken.
71,High cost of Echinacea supplements.,Notification of upcoming sale.
72,App not showing latest promotions.,Issue reported to tech team; website offers suggested as workaround.
73,Order not dispatched; cancellation requested.,"Order cancelled, refund initiated."
74,Order misplaced at store.,Order reshipped to a different store.
75,Website address update error.,Address entry instructions clarified; issue resolved.
76,Incomplete order.,Missing items to be sent.
77,Expired discount code.,Issued new discount code.
78,Delayed follow-up on faulty skincare product.,Issue escalation to head office for follow-up within 24 hours.
79,Out-of-stock organic quinoa.,Quinoa reserved for Tuesday pickup.
80,Unable to update delivery address in app.,Delivery address updated.
81,Incorrect order fulfillment.,Incorrect item shipped; correct item will be sent; customer can keep incorrect item.
82,Missing online nutritional information.,Sodium content provided; website update in progress.
83,Missed subscription notification.,Subscription notification issue resolved; notification preferences updated.
84,Confusing nutritional information on product.,Feedback provided; website nutritional information to be improved.
85,Inaccurate product description (vegetarian supplement contained gelatin).,Replacement product sent.
86,Needed multivitamin recommendation.,Product recommendation: Holland & Barrett ABC Plus Multivitamin.
87,Expired peanuts.,Full refund issued for expired peanuts.
88,Leaking bottle in order.,Replacement bottle sent.
89,Delayed refund.,Refund expedited; credited within 2 business days.
90,Limited in-store BCAA selection.,Provided online BCAA supplement recommendations.
91,Positive feedback.,Positive feedback; no issue resolution needed.
92,Missing rewards points.,Missing rewards points added; issue escalated to tech team.
93,Failed online payment.,Refund initiated for £28.
94,Vegan B12 deficiency concern.,Recommended B12 and vegan multivitamin supplements.
95,International order stuck in customs.,Customs documentation sent; 10% discount offered.
96,"Website showed item as in stock, but it was out of stock in store.",Free delivery of out-of-stock order.
97,Positive feedback on Liverpool store staff.,Positive feedback given; no issue to resolve.
98,Collagen supplement recommendation.,Recommended Marine Collagen 1000mg for joint health.
99,Lack of noticeable improvement from Ginkgo Biloba.,Give product more time; consult doctor if no improvement after another month.
100,Promotional offer not applied to chosen items.,Offer not applicable to selected items.
101,Positive feedback on Oxford store staff.,Positive feedback; no issue resolution needed.
102,Missing reward points.,Points manually added to account.
103,Expressing appreciation for a discount.,Positive feedback; no issue.
104,Long wait time at checkout due to understaffing.,Feedback forwarded to store manager.
105,Voucher code not working.,Voucher activated.
106,Expressing gratitude.,Positive feedback; no issue resolution needed.
107,Website login issue.,Password reset.
108,Offer availability inquiry.,Offer confirmed available at Camden branch.
109,"Incorrectly charged for a ""buy two, get one free"" offer.",Refund issued for one item.
110,Limited in-store sports nutrition selection.,Directed customer to website for wider product selection.
111,No issue; expressing appreciation.,Positive feedback; no issue.
112,Incorrect delivery address.,Incorrect delivery address corrected; order re-dispatched.
113,Seeking digestive health remedy recommendation.,Recommended Aloe Vera Juice for digestive health; confirmed availability at Meadowhall store.
114,Order status inquiry.,Order dispatched; tracking email forthcoming.
115,Unarrived order; seeking refund.,Refund processed for delayed order.
116,Poor staff service in Glasgow store.,Feedback provided; no specific resolution offered.
117,Request for protein powder alternatives.,Provided alternative protein powder options.
118,Missing order confirmation after Alipay payment.,Payment verification pending; update in 24 hours.
119,Damaged protein powder delivery.,"Replacement order sent, 10% discount offered."
120,Positive feedback on Merry Hill Centre store staff.,Positive feedback given; no resolution needed.
121,Limited vegan snack selection.,Vegan snack range expansion planned.
122,Delayed order.,Order delayed due to stock issues; will ship in two days.
123,Delayed order delivery.,"Delayed order; replacement sent, 10% discount offered."
